iter	Passed	Remaining
0	1	107
1	1	96
2	2	90
3	3	82
4	4	82
5	5	82
6	6	82
7	7	81
8	8	81
9	8	80
10	9	80
11	10	80
12	11	79
13	12	78
14	13	78
15	14	77
16	16	78
17	17	79
18	18	78
19	19	76
20	19	74
21	20	73
22	21	71
23	22	70
24	23	69
25	24	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	62
31	29	62
32	30	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	36
56	47	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	80	0
